tradingitemid|companyname|city|state|isocountry3|webpage
2590254|Apartment Investment and Management Company|Denver|Colorado|USA|www.aimco.com
49031561|Discovery, Inc.|Silver Spring|Maryland|USA|corporate.discovery.com
2586086|Aflac Incorporated|Columbus|Georgia|USA|www.aflac.com
2586130|The AES Corporation|Arlington|Virginia|USA|www.aes.com
2586256|Warner Media, LLC|New York|New York|USA|www.warnermediagroup.com
2586533|Abbott Laboratories|North Chicago|Illinois|USA|www.abbott.com
2586597|Abiomed, Inc.|Danvers|Massachusetts|USA|www.abiomed.com
2586910|Acuity Brands, Inc.|Atlanta|Georgia|USA|www.acuitybrands.com
2587024|Adobe Inc.|San Jose|California|USA|www.adobe.com
2587089|Advance Auto Parts, Inc.|Raleigh|North Carolina|USA|www.advanceautoparts.com
2587303|Advanced Micro Devices, Inc.|Santa Clara|California|USA|www.amd.com
2587390|Aetna Inc.|Hartford|Connecticut|USA|www.aetna.com
2587400|Affiliated Managers Group, Inc.|West Palm Beach|Florida|USA|www.amg.com
2587460|Agilent Technologies, Inc.|Santa Clara|California|USA|www.agilent.com
2587580|Air Products and Chemicals, Inc.|Allentown|Pennsylvania|USA|www.airproducts.com
2587662|Akamai Technologies, Inc.|Cambridge|Massachusetts|USA|www.akamai.com
2587782|Alaska Air Group, Inc.|Seattle|Washington|USA|www.alaskaair.com
2587814|Albemarle Corporation|Charlotte|North Carolina|USA|www.albemarle.com
2587935|Alexandria Real Estate Equities, Inc.|Pasadena|California|USA|www.are.com
2587941|Alexion Pharmaceuticals, Inc.|Boston|Massachusetts|USA|www.alexion.com
2588003|Align Technology, Inc.|Tempe|Arizona|USA|www.aligntech.com
2588150|Alliance Data Systems Corporation|Columbus|Ohio|USA|www.alliancedata.com
2588182|Alliant Energy Corporation|Madison|Wisconsin|USA|www.alliantenergy.com
2588294|The Allstate Corporation|Northbrook|Illinois|USA|www.allstate.com
2588568|Amazon.com, Inc.|Seattle|Washington|USA|www.amazon.com
2588654|Ameren Corporation|Saint Louis|Missouri|USA|www.ameren.com
2588872|American Electric Power Company, Inc.|Columbus|Ohio|USA|www.aep.com
2588913|American Express Company|New York|New York|USA|www.americanexpress.com
2589073|American International Group, Inc.|New York|New York|USA|www.aig.com
2589547|AmerisourceBergen Corporation|Chesterbrook|Pennsylvania|USA|www.amerisourcebergen.com
2589719|AMETEK, Inc.|Berwyn|Pennsylvania|USA|www.ametek.com
2589769|Amgen Inc.|Thousand Oaks|California|USA|www.amgen.com
2589819|Amphenol Corporation|Wallingford|Connecticut|USA|www.amphenol.com
2589895|Anadarko Petroleum Corporation|The Woodlands|Texas|USA|www.anadarko.com
2589909|Analog Devices, Inc.|Norwood|Massachusetts|USA|www.analog.com
2590144|ANSYS, Inc.|Canonsburg|Pennsylvania|USA|www.ansys.com
2590254|Apartment Investment and Management Company|Denver|Colorado|USA|www.aimco.com
2590360|Apple Inc.|Cupertino|California|USA|www.apple.com
2590440|Applied Materials, Inc.|Santa Clara|California|USA|www.appliedmaterials.com
2631428|Monsanto Company|St. Louis|Missouri|USA|www.monsanto.com
2631520|Moody's Corporation|New York|New York|USA|www.moodys.com
2631609|Morgan Stanley|New York|New York|USA|www.morganstanley.com
2632409|NVR, Inc.|Reston|Virginia|USA|www.nvrinc.com
2632522|Nasdaq, Inc.|New York|New York|USA|www.nasdaq.com
2633241|Netflix, Inc.|Los Gatos|California|USA|www.netflix.com
42709729|NetApp, Inc.|Sunnyvale|California|USA|www.netapp.com
2633833|Newell Brands Inc.|Atlanta|Georgia|USA|www.newellbrands.com
2633835|Ovintiv Exploration Inc.|The Woodlands|Texas|USA|
2633880|Newmont Corporation|Denver|Colorado|USA|www.newmont.com
2634146|NIKE, Inc.|Beaverton|Oregon|USA|www.nike.com
2634188|NiSource Inc.|Merrillville|Indiana|USA|www.nisource.com
2634346|Nordstrom, Inc.|Seattle|Washington|USA|press.nordstrom.com
2634350|Norfolk Southern Corporation|Norfolk|Virginia|USA|www.norfolksouthern.com
2634674|Northern Trust Corporation|Chicago|Illinois|USA|www.northerntrust.com
2634721|Northrop Grumman Corporation|Falls Church|Virginia|USA|www.northropgrumman.com
2635042|Nucor Corporation|Charlotte|North Carolina|USA|www.nucor.com
2635154|NVIDIA Corporation|Santa Clara|California|USA|www.nvidia.com
2635350|Occidental Petroleum Corporation|Houston|Texas|USA|www.oxy.com
2635651|Old Dominion Freight Line, Inc.|Thomasville|North Carolina|USA|www.odfl.com
2635737|Omnicom Group Inc.|New York|New York|USA|www.omnicomgroup.com
2635922|ONEOK, Inc.|Tulsa|Oklahoma|USA|www.oneok.com
2636077|Oracle Corporation|Redwood City|California|USA|www.oracle.com
2636693|PG&E Corporation|San Francisco|California|USA|www.pgecorp.com
2636835|The PNC Financial Services Group, Inc.|Pittsburgh|Pennsylvania|USA|www.pnc.com
2636859|PPG Industries, Inc.|Pittsburgh|Pennsylvania|USA|www.ppg.com
2636867|PPL Corporation|Allentown|Pennsylvania|USA|www.pplweb.com
2637023|PACCAR Inc|Bellevue|Washington|USA|www.paccar.com
2637397|Packaging Corporation of America|Lake Forest|Illinois|USA|www.packagingcorp.com
2637852|Parker-Hannifin Corporation|Cleveland|Ohio|USA|www.parker.com
2638038|Paychex, Inc.|Rochester|New York|USA|www.paychex.com
2638536|PepsiCo, Inc.|Purchase|New York|USA|www.pepsico.com
2638616|PerkinElmer, Inc.|Waltham|Massachusetts|USA|www.perkinelmer.com
2638844|Pfizer Inc.|New York|New York|USA|www.pfizer.com
2638938|Altria Group, Inc.|Richmond|Virginia|USA|www.altria.com
2639259|Pinnacle West Capital Corporation|Phoenix|Arizona|USA|www.pinnaclewest.com
2639311|Pioneer Natural Resources Company|Irving|Texas|USA|www.pxd.com
2640048|Linde plc|Guildford|Surrey|GBR|www.linde.com
2640322|T. Rowe Price Group, Inc.|Baltimore|Maryland|USA|www.troweprice.com
2640332|Booking Holdings Inc.|Norwalk|Connecticut|USA|www.bookingholdings.com
2640490|Principal Financial Group, Inc.|Des Moines|Iowa|USA|www.principal.com
2640598|The Procter & Gamble Company|Cincinnati|Ohio|USA|www.pginvestor.com
2640716|The Progressive Corporation|Mayfield|Ohio|USA|www.progressive.com
2640949|Prudential Financial, Inc.|Newark|New Jersey|USA|www.prudential.com
2641055|Public Service Enterprise Group Incorporated|Newark|New Jersey|USA|www.pseg.com
2641077|Public Storage|Glendale|California|USA|www.publicstorage.com
2641195|PulteGroup, Inc.|Atlanta|Georgia|USA|www.pultegroup.com
2641396|QUALCOMM Incorporated|San Diego|California|USA|www.qualcomm.com
2641432|Quanta Services, Inc.|Houston|Texas|USA|www.quantaservices.com
2641541|Quest Diagnostics Incorporated|Secaucus|New Jersey|USA|www.questdiagnostics.com
2642117|Range Resources Corporation|Fort Worth|Texas|USA|www.rangeresources.com
2642205|Raymond James Financial, Inc.|St. Petersburg|Florida|USA|www.raymondjames.com
2642243|Raytheon Company|Waltham|Massachusetts|USA|
2642335|Realty Income Corporation|San Diego|California|USA|www.realtyincome.com
2642405|Red Hat, Inc.|Raleigh|North Carolina|USA|www.redhat.com
2642539|Regency Centers Corporation|Jacksonville|Florida|USA|www.regencycenters.com
2642551|Regeneron Pharmaceuticals, Inc.|Tarrytown|New York|USA|www.regeneron.com
2642679|CenterPoint Energy, Inc.|Houston|Texas|USA|www.centerpointenergy.com
2642876|Republic Services, Inc.|Phoenix|Arizona|USA|www.republicservices.com
2642943|ResMed Inc.|San Diego|California|USA|www.resmed.com
2643447|Robert Half International Inc.|Menlo Park|California|USA|www.roberthalf.com
2643533|Rockwell Automation, Inc.|Milwaukee|Wisconsin|USA|www.rockwellautomation.com
2643541|Collins Aerospace|West Palm Beach|Florida|USA|www.rockwellcollins.com
2643643|Rollins, Inc.|Atlanta|Georgia|USA|www.rollins.com
2643691|Roper Technologies, Inc.|Sarasota|Florida|USA|www.ropertech.com
2643725|Ross Stores, Inc.|Dublin|California|USA|www.rossstores.com
2649046|SCANA Corporation|Cayce|South Carolina|USA|www.scanaenergy.com
2649082|Henry Schein, Inc.|Melville|New York|USA|www.henryschein.com
2649128|The Charles Schwab Corporation|Westlake|Texas|USA|www.schwab.com
2649388|Sealed Air Corporation|Charlotte|North Carolina|USA|www.sealedair.com
2649679|Sempra Energy|San Diego|California|USA|www.sempra.com
2650116|The Sherwin-Williams Company|Cleveland|Ohio|USA|www.sherwin-williams.com
2650575|Simon Property Group, Inc.|Indianapolis|Indiana|USA|www.simon.com
2650809|Skyworks Solutions, Inc.|Irvine|California|USA|www.skyworksinc.com
104932249|A. O. Smith Corporation|Milwaukee|Wisconsin|USA|www.aosmith.com
2650979|The J. M. Smucker Company|Orrville|Ohio|USA|www.jmsmucker.com
2650995|Snap-on Incorporated|Kenosha|Wisconsin|USA|www.snapon.com
2651550|The Southern Company|Atlanta|Georgia|USA|www.southerncompany.com
2651692|Southwest Airlines Co.|Dallas|Texas|USA|www.southwest.com
2654325|Stanley Black & Decker, Inc.|New Britain|Connecticut|USA|www.stanleyblackanddecker.com
2654392|Starbucks Corporation|Seattle|Washington|USA|www.starbucks.com
2654494|State Street Corporation|Boston|Massachusetts|USA|www.statestreet.com
2654614|Stericycle, Inc.|Bannockburn|Illinois|USA|www.stericycle.com
2654974|Stryker Corporation|Kalamazoo|Michigan|USA|www.stryker.com
2655460|SunTrust Banks, Inc.|Atlanta|Georgia|USA|www.suntrust.com
2655828|NortonLifeLock Inc.|Tempe|Arizona|USA|www.nortonLifeLock.com
2655888|Synopsys, Inc.|Mountain View|California|USA|www.synopsys.com
2655963|Sysco Corporation|Houston|Texas|USA|www.sysco.com
2656191|The TJX Companies, Inc.|Framingham|Massachusetts|USA|www.tjx.com
2656511|Take-Two Interactive Software, Inc.|New York|New York|USA|www.take2games.com
2656646|Target Corporation|Minneapolis|Minnesota|USA|corporate.target.com
2657138|Teledyne Technologies Incorporated|Thousand Oaks|California|USA|www.teledyne.com
2657140|Teleflex Incorporated|Wayne|Pennsylvania|USA|www.teleflex.com
2657626|Texas Instruments Incorporated|Dallas|Texas|USA|www.ti.com
2657704|Textron Inc.|Providence|Rhode Island|USA|www.textron.com
2657778|Thermo Fisher Scientific Inc.|Waltham|Massachusetts|USA|www.thermofisher.com
2657992|3M Company|St. Paul|Minnesota|USA|www.3m.com
2658387|Globe Life Inc.|McKinney|Texas|USA|www.globelifeinsurance.com
2658541|Total System Services, Inc.|Columbus|Georgia|USA|www.tsys.com
2658773|Tractor Supply Company|Brentwood|Tennessee|USA|www.tractorsupply.com
2659921|Tyler Technologies, Inc.|Plano|Texas|USA|www.tylertech.com
2659929|Tyson Foods, Inc.|Springdale|Arkansas|USA|www.tysonfoods.com
2660059|U.S. Bancorp|Minneapolis|Minnesota|USA|www.usbank.com
2660547|Union Pacific Corporation|Omaha|Nebraska|USA|www.up.com
33225136|UDR, Inc.|Highlands Ranch|Colorado|USA|www.udr.com
2660877|United Parcel Service, Inc.|Atlanta|Georgia|USA|www.ups.com
2660893|United Rentals, Inc.|Stamford|Connecticut|USA|www.unitedrentals.com
2661035|Raytheon Technologies Corporation|Waltham|Massachusetts|USA|www.rtx.com
2661077|UnitedHealth Group Incorporated|Minnetonka|Minnesota|USA|www.unitedhealthgroup.com
2661198|Universal Health Services, Inc.|King of Prussia|Pennsylvania|USA|www.uhsinc.com
2661238|Unum Group|Chattanooga|Tennessee|USA|www.unum.com
2661440|V.F. Corporation|Greenwood Village|Colorado|USA|www.vfc.com
2661554|Valero Energy Corporation|San Antonio|Texas|USA|www.valero.com
2661962|Varian Medical Systems, Inc.|Palo Alto|California|USA|www.varian.com
2662091|Ventas, Inc.|Chicago|Illinois|USA|www.ventasreit.com
2662202|VeriSign, Inc.|Reston|Virginia|USA|www.verisign.com
2662209|Verizon Communications Inc.|New York|New York|USA|www.verizon.com
2662297|Vertex Pharmaceuticals Incorporated|Boston|Massachusetts|USA|www.vrtx.com
2663002|Vornado Realty Trust|New York|New York|USA|www.vno.com
2663030|Vulcan Materials Company|Birmingham|Alabama|USA|www.vulcanmaterials.com
2663176|Westinghouse Air Brake Technologies Corporation|Pittsburgh|Pennsylvania|USA|www.wabteccorp.com
2663222|Walmart Inc.|Bentonville|Arkansas|USA|www.stock.walmart.com
2663454|Waste Management, Inc.|Houston|Texas|USA|www.wm.com
2663488|Waters Corporation|Milford|Massachusetts|USA|www.waters.com
2663720|Wells Fargo & Company|San Francisco|California|USA|www.wellsfargo.com
2663879|West Pharmaceutical Services, Inc.|Exton|Pennsylvania|USA|www.westpharma.com
2664030|Western Digital Corporation|San Jose|California|USA|www.westerndigital.com
