tradingitemid,fromdate,todate,divadjfactor
2590254,2017-11-16 00:00:00.000000,2018-02-14 00:00:00.000000,0.0701868995
2590254,2018-02-15 00:00:00.000000,2018-05-16 00:00:00.000000,0.0708829074
2590254,2018-05-17 00:00:00.000000,2018-08-15 00:00:00.000000,0.0715748032
2590254,2018-08-16 00:00:00.000000,2018-11-14 00:00:00.000000,0.0722022179
2590254,2018-11-15 00:00:00.000000,2019-02-20 00:00:00.000000,0.0728104388
2590254,2019-02-21 00:00:00.000000,2019-05-15 00:00:00.000000,0.0759311069
2590254,2019-05-16 00:00:00.000000,2019-08-14 00:00:00.000000,0.0765271844
2590254,2019-08-15 00:00:00.000000,2019-11-13 00:00:00.000000,0.0771364027
2590254,2019-11-14 00:00:00.000000,2020-02-12 00:00:00.000000,0.0777013454
2590254,2020-02-13 00:00:00.000000,2020-05-13 00:00:00.000000,0.0782948169
2590254,2020-05-14 00:00:00.000000,2020-08-12 00:00:00.000000,0.0792425841
2590254,2020-08-13 00:00:00.000000,2020-11-02 00:00:00.000000,0.0801197294
2590254,2020-11-03 00:00:00.000000,2020-12-14 00:00:00.000000,0.1075855231
2590254,2020-12-15 00:00:00.000000,,1.0000000000
49031561,2008-09-18 00:00:00.000000,,1.0000000000
2586086,2017-11-14 00:00:00.000000,2018-02-19 00:00:00.000000,0.9248709981
2586086,2018-02-20 00:00:00.000000,2018-05-21 00:00:00.000000,0.9302668572
2586086,2018-05-22 00:00:00.000000,2018-08-20 00:00:00.000000,0.9355838364
2586086,2018-08-21 00:00:00.000000,2018-11-19 00:00:00.000000,0.9408128088
2586086,2018-11-20 00:00:00.000000,2019-02-18 00:00:00.000000,0.9462353610
2586086,2019-02-19 00:00:00.000000,2019-05-20 00:00:00.000000,0.9514482471
2586086,2019-05-21 00:00:00.000000,2019-08-19 00:00:00.000000,0.9563989317
2586086,2019-08-20 00:00:00.000000,2019-11-18 00:00:00.000000,0.9613260012
2586086,2019-11-19 00:00:00.000000,2020-02-17 00:00:00.000000,0.9661219735
2586086,2020-02-18 00:00:00.000000,2020-05-18 00:00:00.000000,0.9712716813
2586086,2020-05-19 00:00:00.000000,2020-08-17 00:00:00.000000,0.9791613266
2586086,2020-08-18 00:00:00.000000,2020-11-16 00:00:00.000000,0.9865353226
2586086,2020-11-17 00:00:00.000000,2021-02-15 00:00:00.000000,0.9929667519
2586086,2021-02-16 00:00:00.000000,,1.0000000000
2586130,2017-10-31 00:00:00.000000,2018-01-30 00:00:00.000000,0.8930289665
2586130,2018-01-31 00:00:00.000000,2018-04-29 00:00:00.000000,0.9031416639
2586130,2018-04-30 00:00:00.000000,2018-08-01 00:00:00.000000,0.9127811070
2586130,2018-08-02 00:00:00.000000,2018-10-30 00:00:00.000000,0.9216762752
2586130,2018-10-31 00:00:00.000000,2019-01-30 00:00:00.000000,0.9298327024
2586130,2019-01-31 00:00:00.000000,2019-04-29 00:00:00.000000,0.9376899571
2586130,2019-04-30 00:00:00.000000,2019-07-30 00:00:00.000000,0.9451822554
2586130,2019-07-31 00:00:00.000000,2019-10-30 00:00:00.000000,0.9527654910
2586130,2019-10-31 00:00:00.000000,2020-01-29 00:00:00.000000,0.9603827042
2586130,2020-01-30 00:00:00.000000,2020-04-29 00:00:00.000000,0.9672035838
2586130,2020-04-30 00:00:00.000000,2020-07-30 00:00:00.000000,0.9769802084
2586130,2020-07-31 00:00:00.000000,2020-10-28 00:00:00.000000,0.9861445740
2586130,2020-10-29 00:00:00.000000,2021-01-27 00:00:00.000000,0.9934451220
2586130,2021-01-28 00:00:00.000000,,1.0000000000
2586256,2017-10-06 00:00:00.000000,2018-01-08 00:00:00.000000,0.9914792815
2586256,2018-01-09 00:00:00.000000,2018-04-08 00:00:00.000000,0.9957862228
2586256,2018-04-09 00:00:00.000000,,1.0000000000
2586533,2017-10-12 00:00:00.000000,2018-01-10 00:00:00.000000,0.9471729006
2586533,2018-01-11 00:00:00.000000,2018-04-11 00:00:00.000000,0.9517025063
2586533,2018-04-12 00:00:00.000000,2018-07-11 00:00:00.000000,0.9562835051
2586533,2018-07-12 00:00:00.000000,2018-10-11 00:00:00.000000,0.9605820985
2586533,2018-10-12 00:00:00.000000,2019-01-13 00:00:00.000000,0.9645316284
2586533,2019-01-14 00:00:00.000000,2019-04-11 00:00:00.000000,0.9690041704
2586533,2019-04-12 00:00:00.000000,2019-07-11 00:00:00.000000,0.9729699120
2586533,2019-07-12 00:00:00.000000,2019-10-10 00:00:00.000000,0.9766135676
2586533,2019-10-11 00:00:00.000000,2020-01-13 00:00:00.000000,0.9805288312
2586533,2020-01-14 00:00:00.000000,2020-04-13 00:00:00.000000,0.9846934180
2586533,2020-04-14 00:00:00.000000,2020-07-13 00:00:00.000000,0.9888399805
2586533,2020-07-14 00:00:00.000000,2020-10-13 00:00:00.000000,0.9926788934
2586533,2020-10-14 00:00:00.000000,2021-01-13 00:00:00.000000,0.9959875167
2586533,2021-01-14 00:00:00.000000,,1.0000000000
2586910,2017-10-17 00:00:00.000000,2018-01-18 00:00:00.000000,0.9858312184
2586910,2018-01-19 00:00:00.000000,2018-04-15 00:00:00.000000,0.9866254552
2586910,2018-04-16 00:00:00.000000,2018-07-16 00:00:00.000000,0.9876070218
2586910,2018-07-17 00:00:00.000000,2018-10-16 00:00:00.000000,0.9885781936
2586910,2018-10-17 00:00:00.000000,2019-01-16 00:00:00.000000,0.9895932411
2586910,2019-01-17 00:00:00.000000,2019-04-15 00:00:00.000000,0.9906908192
2586910,2019-04-16 00:00:00.000000,2019-07-15 00:00:00.000000,0.9915837047
2586910,2019-07-16 00:00:00.000000,2019-10-16 00:00:00.000000,0.9925517573
2586910,2019-10-17 00:00:00.000000,2020-01-15 00:00:00.000000,0.9935996881
